n	i	cycles
200	50	6082877744.000000
300	50	13745700825.000000
400	50	24437052517.000000
500	50	38242251696.333336
600	50	54160569186.333336
700	50	73446017258.333328
800	50	96982175344.000000
900	50	122813249828.666672
1000	50	154244892410.666656
