n	i	cycles
40	10	1308280.000000
40	40	17507380.000000
40	70	57194941.000000
40	100	128647806.200000
40	130	238173966.800000
40	160	400037175.400000
40	190	612072079.400000
40	220	881199583.200000
40	250	1212398992.800000
40	280	1656427520.400000
40	310	2168865238.600000
40	340	2819944985.400000
40	370	3479320025.400000
40	400	4420810232.800000
40	430	5357167347.400000
40	460	6439654090.800000
40	490	7564458228.000000
